species	code	common_name	broad_classification
Balaenoptera_acutorostrata	bacu2	minke_whale2	baleen_whale
Balaenoptera_acutorostrata	bacu3	minke_whale3	baleen_whale
Balaenoptera_musculus	bmus1	blue_whale	baleen_whale
Tursiops_truncatus	ttru1	bottlenose_dolphin1	toothed_whale
Tursiops_truncatus	ttru2	bottlenose_dolphin2	toothed_whale
Physeter_macrocephalus	pmac1	sperm_whale1	toothed_whale
Physeter_macrocephalus	pmac2	sperm_whale2	toothed_whale
Neophocaena_phocaenoides	npho1	Indo_Pacific_finless_porpoise	toothed_whale
Phocoena_phocoena	ppho1	harbor_porpoise	toothed_whale
Orcinus_orca	oorc1	killer_whale1	toothed_whale
Orcinus_orca	oorc2	killer_whale2	toothed_whale
Neophocaena_asiaeorientalis	nasi1	Yangtze_finless_porpoise	toothed_whale
Monodon_monoceros	mmon1	narwhal	toothed_whale
Lagenorhynchus_obliquidens	lobl1	pacific_white_sided_dolphin	toothed_whale
Globicephala_melas	gmel1	long_finned_pilot_whale	toothed_whale
Delphinapterus_leucas	dleu1	beluga1	toothed_whale
Delphinapterus_leucas	dleu2	beluga2	toothed_whale
Phocoena_sinus	vaquita	vaquita	toothed_whale
Ursus_maritimus	bears_PB	polar_bear	bear
Ursus_arctos	bears_ABC	brown_bear_ABC	bear
Ursus_arctos	bears_EUR	brown_bear_EUR	bear
Mus_musculus	mice_Mmd	mouse_Mmd	mouse
Mus_spretus	mice_Ms	mouse_Ms	mouse
Homo_sapiens	humans_AFR	humans_AFR	humans
Balaenoptera_physalus	fin_whale_ENP	fin_whale_ENP	baleen_whale
Balaenoptera_physalus	fin_whale_GOC	fin_whale_GOC	baleen_whale
Gorilla_gorilla	apes_Gorilla	gorilla	apes
Pan_paniscus	apes_Pan_paniscus	bonobo	apes
Pongo_abelii	apes_Pongo_abelii	sumatran_orangutan	apes
Pongo_pygmaeus	apes_Pongo_pygmaeus	bornean_orangutan	apes
Pan_troglodytes	apes_Pan_troglodytes	chimpanzee	apes
